Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W High,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,52W Low,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,Volatility W,Volatility M,Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Helix Energy Solutions Group Inc,Energy,Oil & Gas Equipment & Services,USA,NYSE,RUT,13.11,0.55,6.65%,151.53M,1.84%,1.09B,11.21,0.64,-0.83%,141.45M,11.98%,1.38B,0.43,0.03,89.26%,3.94%,-16.67%,84.92M,0.81,3.43%,-4.75%,2.89,-21.40%,1.34B,0.71,72.57%,3.24%,5.57M,-22.75%,10.20,2.95,30.19%,5.64%,5.66,13.05,-30.97%,2.44,9.63,- -1.27%,3.99%,-44.83%,87.50%,-,4.49,26.27% 12.56%,16.98%,27.32%,68.62%,-,1.03,365.61%,10.24%,1.48%,2.15%,-52.94%,-,2.16,0.34%,6.33%,63.94,1.57,- -,2.16,111.71%,7.81%,1.60,11.12,0.00%,0.42,-6.13%,9.57%,1.99,7.03,2313,0.38,Apr 23 AMC,-16.41%,1.93M,7.20,"Jul 01, 1997",Yes / Yes,251.52% 0.72%,"

","3,825,317",2.42%,HLX
Hilton Worldwide Holdings Inc,Consumer Cyclical,Lodging,USA,NYSE,S&P 500,39.25,6.34,2.18%,238.78M,-0.67%,59.15B,27.58,9.02,-0.83%,232.51M,-1.80%,70.27B,2.89,2.02,98.13%,2.60%,7.31%,1.57B,5.24,11.63%,-0.36%,2.67,-1.64%,11.30B,-,13.51%,9.82%,6.06M,0.69%,-18.33,73.30,13.57%,-,196.04,275.22,15.95%,3.40,29.28,61.06% 15.11%,22.53%,-9.58%,108.88%,0.61 (0.25%),27.82,24.52% 3.40%,25.79%,26.94%,221.19%,0.60 (0.24%),6.22,38.52%,21.03%,0.67%,1.24%,324.11%,"May 23, 2025",0.57,7.43%,13.90%,52.88,2.38,- 0.00%,0.57,18.80%,-0.20%,1.25,252.20,9.77%,-,4.74%,4.41%,1.57,247.56,181000,-,Apr 29 BMO,3.18%,2.27M,248.86,"Dec 12, 2013",Yes / Yes,6.83% -0.88%,"

","3,572,304",0.53%,HLT
Hamilton Lane Inc,Financial,Asset Management,USA,NASD,RUT,25.34,5.40,34.48%,43.50M,-6.69%,7.32B,23.93,5.71,-0.06%,27.11M,-19.45%,7.61B,2.81,0.97,107.90%,11.99%,-8.38%,217.42M,10.27,-9.77%,7.93%,5.41,-18.40%,712.96M,8.29,25.63%,14.68%,3.25M,-7.67%,16.49,25.81,9.02%,35.00%,115.52,203.72,18.33%,5.30,23.51,10.74% 20.24%,20.44%,-32.90%,120.47%,2.13 (1.56%),21.97,23.23% 20.64%,-,18.33%,117.35%,1.96 (1.43%),10.68,49.47%,47.30%,0.90%,3.32%,-,"Jun 20, 2025",4.01,28.73%,30.49%,31.70,3.33,11.87% 12.25%,4.01,3.24%,-9.32%,1.27,153.00,36.25%,0.51,12.06%,-10.63%,1.30,136.98,760,0.48,May 29 BMO,-15.04%,600.76K,136.69,"Mar 01, 2017",Yes / Yes,3.20% 15.98%,"

","780,968",-0.21%,HLNE
Haleon plc ADR,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,NYSE,-,25.92,0.40,0.00%,4.50B,-5.45%,46.83B,18.99,0.55,-,4.50B,-5.54%,56.77B,2.59,-,12.66%,0.44%,0.19%,1.84B,3.26,10.72%,19.53%,1.24,7.10%,14.35B,2.33,9.50%,4.27%,19.57M,9.12%,4.47,16.62,9.99%,8.90%,8.24,11.42,24.37%,0.63,20.54,-0.84% 17.40%,5.93%,-8.84%,-,0.19 (1.81%),15.69,3.02% 5.82%,63.23%,26.26%,-,0.17 (1.63%),3.96,43.24%,22.32%,0.80%,1.19%,-,"Apr 25, 2025",0.78,2.16%,12.84%,36.64,2.06,- -,0.98,24561.95%,-5.18%,0.31,11.56,43.93%,0.63,15.22%,-2.16%,0.94,10.45,-,0.53,Feb 27 BMO,3.17%,15.79M,10.41,"Jul 18, 2022",Yes / Yes,5.24% 3.31%,"

","14,883,810",-0.38%,HLN
Hillman Solutions Corp,Industrials,Tools & Accessories,USA,NASD,RUT,71.84,0.09,1.91%,197.38M,-7.76%,1.32B,12.34,0.54,3.50%,193.73M,-15.27%,2.09B,5.88,0.14,102.63%,2.85%,-25.92%,18.43M,0.89,12.45%,2.75%,3.45,-38.67%,1.48B,1.11,-2.06%,0.78%,5.51M,-31.62%,5.99,36.23,12.22%,1.57%,6.64,12.08,-24.58%,0.18,15.87,- -,0.94%,-44.87%,-31.20%,-,9.28,1.08% -,38.90%,0.30%,-,-,1.41,1049.49%,6.20%,1.32%,2.21%,-,-,0.79,0.31%,1.24%,31.92,1.88,- -,2.46,78.95%,-7.69%,1.67,10.71,0.00%,0.69,2.58%,-10.85%,0.81,6.70,3886,0.66,Apr 29 BMO,-29.60%,1.60M,6.66,"Dec 03, 2020",Yes / Yes,2.88% 0.47%,"

","1,290,705",-0.60%,HLMN
Helios Technologies Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,RUT,28.15,1.11,0.77%,33.30M,-6.19%,1.05B,13.83,2.27,0.00%,33.07M,-4.36%,1.47B,4.49,0.50,89.36%,1.82%,-8.84%,37.10M,1.32,-10.48%,-8.81%,1.65,-37.96%,789.40M,1.19,20.61%,2.39%,0.60M,-29.75%,26.46,22.77,6.27%,4.27%,24.76,57.29,-34.94%,1.38,10.92,-28.62% -9.05%,2.80%,-45.26%,-53.48%,0.36 (1.15%),10.28,-2.49% 7.76%,26.98%,26.66%,-11.76%,0.36 (1.15%),1.86,12.14%,9.94%,2.27%,3.26%,-19.62%,"Jul 07, 2025",1.45,-5.39%,4.70%,47.89,1.60,0.00% 0.00%,2.78,-20.88%,-1.08%,1.25,44.75,30.74%,0.53,-7.78%,4.19%,1.95,31.84,2500,0.51,May 06 AMC,-22.75%,365.26K,31.36,"Jan 09, 1997",Yes / Yes,21.55% 4.23%,"

","712,112",-1.51%,HLIO
Houlihan Lokey Inc,Financial,Capital Markets,USA,NYSE,-,29.75,5.81,23.06%,53.82M,-1.40%,12.08B,21.50,8.05,-0.06%,53.71M,-2.50%,11.54B,2.28,1.62,76.73%,1.68%,6.60%,399.71M,5.05,12.46%,-1.06%,2.29,-3.65%,2.39B,5.56,13.74%,11.44%,0.90M,-0.39%,31.14,12.38,13.06%,19.93%,129.32,192.10,32.06%,13.97,14.93,-3.17% 15.80%,15.59%,-9.95%,117.39%,2.40 (1.38%),20.48,1.76% 15.59%,-,33.76%,199.17%,2.31 (1.34%),4.82,39.55%,21.84%,0.63%,0.96%,-,"Jun 02, 2025",1.35,24.88%,16.71%,50.36,2.50,9.85% 12.95%,1.35,48.88%,-0.70%,0.85,175.67,39.16%,0.20,28.05%,2.76%,1.01,173.10,2702,0.18,May 07 AMC,1.69%,394.84K,172.98,"Aug 13, 2015",Yes / Yes,20.81% 6.07%,"

","399,215",-0.07%,HLI
Hecla Mining Co,Basic Materials,Other Precious Metals & Mining,USA,NYSE,RUT,51.94,0.11,7.57%,632.44M,-3.67%,3.65B,15.39,0.37,-0.19%,584.69M,12.48%,4.21B,1.27,0.05,66.45%,5.31%,-1.37%,69.88M,3.64,98.53%,1.01%,1.42,8.87%,1.00B,1.76,71.70%,2.34%,31.02M,17.52%,3.28,154.20,40.95%,3.49%,4.41,7.68,13.81%,0.04,228.98,-4.21% -,2.68%,-24.87%,34.78%,0.02 (0.35%),11.70,4.80% 6.63%,21.52%,30.84%,85.27%,0.03 (0.61%),4.20,177.96%,17.44%,2.35%,3.16%,96.58%,"May 23, 2025",0.75,41.04%,6.98%,51.44,1.89,10.06% 31.95%,1.43,571.88%,0.10%,1.45,7.17,70.67%,0.28,37.89%,4.48%,1.26,5.94,1830,0.26,May 01 AMC,0.39%,21.77M,5.77,"Jul 02, 1962",Yes / Yes,-13.61% 10.37%,"

","27,330,529",-2.86%,HL
"Highwoods Properties, Inc",Real Estate,REIT - Office,USA,NYSE,-,19.74,1.60,1.82%,107.81M,-0.94%,3.40B,45.72,0.69,0.00%,105.84M,5.20%,6.81B,-,0.16,106.68%,4.29%,9.17%,171.15M,4.16,17.02%,4.66%,4.85,0.73%,818.13M,1.43,-37.27%,2.87%,4.54M,3.17%,22.09,86.09,-6.98%,7.21%,24.18,36.78,23.87%,0.37,16.77,-31.94% -6.23%,2.97%,-14.22%,-6.21%,2.00 (6.34%),13.37,2.77% 2.28%,30.46%,30.45%,-20.91%,2.00 (6.34%),8.33,31.64%,25.34%,0.86%,1.19%,-22.41%,"May 19, 2025",-,-2.01%,20.92%,61.82,2.56,0.68% 1.03%,-,267.44%,2.99%,1.22,30.44,212.83%,1.39,-4.73%,7.18%,1.04,31.82,350,1.39,Apr 29 AMC,3.01%,934.76K,31.55,"Jun 08, 1994",Yes / Yes,435.29% -0.37%,"

","969,875",-0.85%,HIW
Himax Technologies ADR,Technology,Semiconductors,Taiwan,NASD,-,17.80,0.50,0.00%,174.90M,-2.20%,1.56B,15.45,0.58,-,174.90M,5.57%,1.32B,0.99,0.10,19.51%,3.81%,3.01%,87.11M,1.71,-11.55%,-3.00%,4.50,9.33%,913.71M,1.71,42.98%,5.31%,6.67M,10.82%,5.20,1.99,18.04%,9.79%,5.12,13.91,33.38%,4.49,15.61,-43.36% -,9.30%,-35.95%,-4.19%,0.37 (4.19%),13.19,-16.41% 6.10%,30.73%,74.02%,177.57%,0.29 (3.25%),1.44,80.97%,8.52%,3.94%,2.44%,9.06%,"Jun 30, 2025",1.52,0.61%,9.53%,56.51,2.00,-16.19% -,1.71,60.70%,2.52%,2.21,8.60,160.26%,0.59,4.22%,13.40%,2.27,9.38,2177,0.03,May 08 BMO,18.75%,1.48M,8.91,"Mar 31, 2006",Yes / Yes,14.00% 1.33%,"

","3,362,735",-5.01%,HIMX
Hims & Hers Health Inc,Consumer Defensive,Household & Personal Products,USA,NYSE,RUT,93.48,0.69,10.43%,215.21M,12.37%,14.37B,66.26,0.97,-8.69%,200.49M,4.92%,14.12B,2.70,0.15,70.32%,30.37%,95.38%,164.40M,8.06,27.49%,-4.34%,1.55,105.50%,1.78B,26.14,43.43%,24.54%,60.88M,165.59%,2.46,44.55,34.58%,36.79%,13.47,72.98,165.92%,1.44,61.10,- 17.22%,27.00%,-12.00%,1576.76%,-,102.34,75.77% -,68.19%,376.76%,539.02%,-,7.91,6218.70%,6.48%,3.54%,4.13%,-,-,1.32,85.99%,9.21%,66.71,2.50,- -,1.59,313.81%,14.19%,2.10,47.83,0.00%,0.12,110.67%,36.05%,1.07,61.07,1637,0.11,May 05 AMC,92.72%,39.28M,64.22,"Sep 13, 2019",Yes / Yes,65.43% 8.80%,"

","42,078,972",5.16%,HIMS
Huntington Ingalls Industries Inc,Industrials,Aerospace & Defense,USA,NYSE,S&P 500,16.91,13.87,0.86%,39.24M,2.37%,9.20B,14.04,16.70,-0.67%,38.90M,2.86%,12.44B,1.49,3.24,95.98%,4.60%,16.28%,546.00M,0.80,3.92%,-1.00%,2.94,18.29%,11.46B,1.93,15.13%,4.69%,1.79M,24.11%,121.64,55.11,11.34%,12.27%,158.88,285.81,-3.09%,4.26,-,1.12% 1.03%,7.11%,-17.94%,14.52%,4.55 (1.94%),15.42,6.59% 5.33%,12.81%,47.62%,28.81%,5.35 (2.28%),1.09,-21.80%,4.20%,1.47%,1.21%,98.54%,"May 30, 2025",0.99,-1.04%,4.76%,61.27,2.50,4.50% 7.78%,1.07,-2.12%,3.15%,0.28,235.82,37.61%,0.71,-2.53%,4.12%,2.55,234.21,44000,0.61,May 01 BMO,9.24%,609.24K,234.54,"Mar 22, 2011",Yes / Yes,29.91% -1.96%,"

","1,555,648",0.14%,HII
Hartford Insurance Group Inc.(The),Financial,Insurance - Property & Casualty,USA,NYSE,S&P 500,12.57,10.03,0.38%,285.10M,-0.11%,35.83B,9.75,12.94,-27.42%,283.02M,-3.88%,-,1.05,2.82,94.66%,1.33%,5.39%,2.97B,1.33,7.39%,-1.17%,2.34,13.90%,26.93B,2.18,16.98%,4.10%,3.77M,15.28%,57.91,-,11.93%,18.49%,98.16,132.09,24.58%,-,6.33,16.06% 12.84%,13.99%,-4.52%,89.37%,2.07 (1.64%),-,5.83% 5.05%,-,28.48%,208.66%,2.03 (1.61%),-,14.16%,14.56%,0.68%,1.01%,198.86%,"Jun 02, 2025",-,7.55%,11.02%,48.41,2.09,10.25% 9.97%,0.31,-13.05%,-1.22%,0.71,135.06,18.65%,0.26,6.09%,0.98%,1.84,124.90,19100,0.26,Apr 24 AMC,7.00%,1.61M,126.12,"Dec 15, 1995",Yes / Yes,2.45% 0.05%,"

","2,967,242",0.98%,HIG
Hillenbrand Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,RUT,-,-3.81,1.03%,70.40M,-11.73%,1.34B,8.11,2.34,2.19%,69.73M,-10.10%,2.92B,-,0.49,94.10%,2.78%,-27.69%,-268.80M,0.44,-32.83%,2.20%,3.46,-39.81%,3.05B,1.01,4.82%,-5.23%,1.94M,-38.40%,18.85,2.87,-7.83%,-18.22%,18.36,45.53,-54.95%,6.61,10.25,- -,-8.15%,-58.36%,-53.48%,-,6.60,3.58% 11.98%,30.58%,3.27%,-29.04%,0.90 (4.73%),0.96,-423.59%,9.60%,2.19%,3.39%,-39.29%,"Jun 16, 2025",1.14,0.31%,-8.82%,40.18,2.00,1.15% 1.16%,1.51,-770.34%,-5.31%,1.48,32.67,-,1.52,-8.84%,-8.76%,1.22,19.32,10450,1.48,Apr 29 AMC,-30.87%,560.97K,18.96,"Mar 20, 2008",Yes / Yes,11.52% 3.60%,"

","686,774",-1.86%,HI
Howard Hughes Holdings Inc,Real Estate,Real Estate - Diversified,USA,NYSE,-,13.26,5.22,1.46%,50.40M,-2.08%,3.49B,22.73,3.05,0.10%,49.65M,-0.03%,7.97B,5.08,0.88,109.71%,2.58%,-8.43%,260.71M,1.91,-72.57%,36.82%,2.68,-15.31%,1.83B,1.25,93.94%,3.08%,1.28M,-9.96%,55.32,4.16,2.61%,10.15%,59.83,87.77,8.70%,16.63,11.82,56.84% 18.33%,3.24%,-21.09%,11.06%,-,11.76,7.07% 6.12%,31.08%,15.76%,23.25%,-,4.36,144.74%,26.87%,1.39%,1.26%,-50.49%,"Nov 25, 2008",-,82.64%,14.27%,50.45,1.00,- -,-,119.92%,0.74%,1.23,82.33,0.00%,1.88,16.47%,1.33%,1.11,69.39,545,1.88,May 07 AMC,-7.43%,478.01K,69.26,"Nov 05, 2010",Yes / Yes,85.68% 4.80%,"

","529,898",-0.19%,HHH
Hilton Grand Vacations Inc,Consumer Cyclical,Resorts & Casinos,USA,NYSE,RUT,121.32,0.33,28.43%,93.45M,0.76%,3.64B,9.31,4.26,-0.20%,65.61M,-2.44%,10.25B,3.99,0.81,87.32%,12.04%,5.12%,34.00M,0.73,11.97%,0.21%,7.86,-2.05%,4.97B,2.34,39.37%,0.29%,7.90M,1.82%,16.94,6.38,30.38%,1.90%,30.59,44.99,-1.32%,6.22,12.08,-36.02% -28.38%,0.39%,-11.85%,-3.88%,-,11.63,28.73% 22.07%,46.89%,29.65%,76.50%,-,2.06,-84.43%,12.23%,1.35%,1.62%,-,-,2.49,18.40%,0.68%,54.21,2.20,- -,3.95,-367.19%,1.58%,1.64,48.17,0.00%,4.44,-0.69%,5.13%,1.77,39.35,21800,4.44,May 01 BMO,2.40%,1.00M,39.66,"Dec 14, 2016",Yes / Yes,-83.02% -8.24%,"

","1,776,354",0.79%,HGV
Hagerty Inc,Financial,Insurance - Property & Casualty,USA,NYSE,-,46.53,0.21,7.84%,90.06M,3.58%,3.37B,24.02,0.41,-2.53%,83.62M,3.36%,-,2.00,0.11,83.57%,0.36%,7.30%,19.27M,2.70,34.72%,0.69%,3.89,-10.29%,1.25B,5.44,26.80%,1.58%,0.30M,2.07%,1.81,-,23.31%,12.50%,8.03,12.35,-2.67%,-,22.52,- -37.91%,4.55%,-20.24%,-8.46%,-,-,27.38% 24.27%,-,22.67%,-,-,-,29.28%,6.22%,0.73%,1.43%,-,-,-,17.56%,1.55%,58.94,3.67,- -,1.40,274.54%,2.12%,0.91,10.50,0.00%,0.73,20.34%,5.84%,1.05,9.66,1744,0.70,May 07 BMO,-2.27%,77.43K,9.85,"Jun 01, 2021",Yes / Yes,255.56% 24.97%,"

","81,053",1.97%,HGTY
Hamilton Insurance Group Ltd,Financial,Insurance - Reinsurance,Bermuda,NYSE,RUT,6.56,3.19,41.27%,66.02M,-2.24%,2.15B,5.07,4.12,-0.26%,60.32M,-1.65%,-,0.62,1.00,51.74%,2.77%,-1.23%,324.13M,0.90,-14.70%,12.07%,3.03,12.97%,2.38B,0.89,31.63%,4.98%,1.67M,9.88%,23.59,-,10.62%,14.07%,15.19,22.33,26.73%,-,3.38,- -,12.71%,-6.36%,-,-,-,28.24% -,-,37.66%,-,-,-,-3.34%,23.31%,1.72%,1.99%,-,-,-,35.36%,13.63%,49.98,1.71,- -,0.72,-43.84%,-1.56%,0.92,23.50,0.00%,0.06,15.55%,4.44%,0.62,20.81,600,0.06,May 07 AMC,8.54%,552.32K,20.91,"Nov 10, 2023",Yes / Yes,2215.27% -0.49%,"

","340,465",0.48%,HG
Hess Midstream LP,Energy,Oil & Gas Midstream,USA,NYSE,-,15.14,2.54,0.61%,116.78M,-2.41%,8.09B,11.81,3.26,-95.58%,115.80M,-0.85%,11.56B,1.18,0.66,93.30%,4.84%,-11.53%,250.10M,5.31,14.64%,8.04%,4.66,6.27%,1.52B,7.48,14.18%,6.16%,5.61M,3.97%,5.15,1325.81,12.78%,49.74%,33.59,44.05,9.03%,0.03,12.24,11.56% -7.52%,6.03%,-12.60%,26.35%,2.93 (7.60%),10.15,7.50% 12.01%,63.23%,14.62%,101.36%,2.76 (7.18%),7.60,15.22%,61.40%,0.77%,1.20%,-,"May 08, 2025",0.81,8.77%,16.43%,49.76,2.00,11.39% 11.10%,0.81,8.95%,0.18%,0.58,44.00,105.25%,5.94,7.42%,1.51%,3.83,38.57,220,5.90,Apr 30 BMO,1.30%,1.20M,38.50,"Apr 05, 2017",Yes / Yes,5.21% 0.10%,"

","4,606,395",-0.18%,HESM
Hess Corporation,Energy,Oil & Gas E&P,USA,NYSE,S&P 500,20.01,7.22,7.00%,309.27M,2.35%,44.68B,17.26,8.37,-3.92%,287.62M,9.40%,53.72B,1.85,1.15,77.76%,3.85%,-8.20%,2.23B,3.57,-37.81%,-3.70%,5.62,6.33%,12.50B,3.88,39.05%,8.59%,11.08M,8.61%,37.25,33.74,10.83%,20.82%,123.79,161.69,0.61%,4.28,40.07,70.65% -,10.79%,-10.66%,20.31%,2.02 (1.40%),7.92,18.67% 14.71%,38.29%,16.70%,191.25%,2.00 (1.38%),4.30,10.59%,33.18%,1.04%,1.13%,113.51%,"Jun 16, 2025",0.91,8.08%,17.82%,67.97,2.12,23.42% 13.46%,1.08,-55.86%,5.58%,0.63,159.28,20.88%,0.82,-12.00%,8.23%,1.36,143.66,1797,0.79,Apr 30 BMO,3.50%,1.97M,144.46,"May 24, 1962",Yes / Yes,10.08% 6.34%,"

","2,690,031",0.56%,HES
Heico Corp,Industrials,Aerospace & Defense,USA,NYSE,-,73.75,4.28,69.51%,55.05M,3.75%,38.28B,61.53,5.13,-0.10%,42.42M,13.86%,40.82B,4.53,1.11,28.10%,4.87%,20.67%,601.01M,9.26,24.16%,-2.89%,3.97,20.06%,4.13B,11.06,12.53%,7.78%,2.07M,32.72%,28.53,157.99,16.27%,16.34%,216.68,311.60,38.41%,2.00,50.23,18.44% 8.96%,9.63%,1.26%,136.54%,0.23 (0.07%),36.56,27.40% 13.42%,42.12%,45.62%,189.26%,0.22 (0.07%),9.87,34.81%,22.56%,0.83%,1.73%,964.52%,"Jul 01, 2025",1.56,17.74%,14.54%,77.13,1.95,7.30% 8.45%,3.43,26.84%,5.87%,1.08,314.33,5.73%,0.57,14.91%,15.08%,1.35,311.08,10000,0.57,May 27 AMC,22.32%,521.18K,315.52,"Jul 02, 1962",Yes / Yes,8.92% 3.55%,"

","702,838",1.43%,HEI
"Hawaiian Electric Industries, Inc",Utilities,Utilities - Regulated Electric,USA,NYSE,RUT,-,-12.23,0.19%,172.49M,-2.72%,0.74M,10.08,1.03,0.00%,172.17M,-4.07%,2.11B,-,0.24,77.33%,3.96%,-6.32%,-1325.66M,0.00,3.06%,7.48%,3.62,1.67%,3.38B,1.19,1.98%,-10.45%,6.82M,6.68%,8.73,0.00,3.50%,-67.93%,7.61,18.19,7.68%,15595.53,0.01,- -,-31.09%,-42.94%,-73.37%,-,-,4.15% 2.30%,-51.18%,36.49%,-71.95%,-,0.62,-819.97%,-51.18%,1.05%,1.77%,-65.93%,"Aug 17, 2023",1.25,-7.58%,-39.23%,46.52,2.60,- -,1.25,-59.53%,-1.72%,0.65,12.58,-,2.07,-17.06%,-0.51%,0.99,10.34,2602,1.77,May 09 AMC,0.90%,1.89M,10.38,"Oct 13, 1964",Yes / Yes,-0.90% -,"

","1,865,888",0.39%,HE
Super Hi International Holding LTD. ADR,Consumer Cyclical,Restaurants,Singapore,NASD,-,31.48,0.59,-,65.03M,-8.38%,1.22B,20.82,0.90,-,-,-18.34%,1.17B,0.79,0.20,0.60%,-,-26.38%,38.63M,1.54,77.18%,3.17%,1.73,10.45%,788.08M,3.32,26.72%,6.17%,0.00M,-34.98%,5.63,4.75,40.00%,12.11%,13.94,30.00,-6.50%,3.94,-,- -,7.23%,-37.67%,-,-,9.03,35.52% 27.22%,22.89%,34.15%,-,-,1.48,40.82%,6.25%,2.71%,2.92%,-,"Dec 18, 2006",2.32,-,4.90%,36.52,1.71,- -,2.60,355.43%,-7.32%,-0.44,23.65,0.00%,0.57,5.51%,-11.09%,0.38,19.50,13057,0.46,May 21 AMC,-9.94%,2.89K,18.70,"May 17, 2024",No / Yes,0.00% -,"

","1,088",-4.10%,HDL
HDFC Bank Ltd. ADR,Financial,Banks - Regional,India,NYSE,-,22.77,3.28,0.01%,2.55B,-1.66%,190.55B,18.76,3.98,0.00%,-,2.12%,-,1.73,0.78,14.11%,-,17.11%,8.37B,3.42,10.44%,3.89%,4.65,11.89%,55.69B,3.24,16.14%,1.68%,14.19M,16.85%,23.01,-,13.19%,14.51%,57.24,77.76,22.45%,-,-,5.95% 9.29%,6.19%,-4.04%,41.62%,0.82 (1.10%),-,35.70% 21.73%,-,30.36%,78.60%,0.70 (0.93%),-,0.54%,20.43%,1.00%,1.15%,163.95%,"Aug 12, 2024",-,13.13%,15.03%,52.08,1.30,10.44% -,0.27,1.66%,-0.54%,0.64,77.10,20.12%,1.22,-7.32%,2.30%,0.80,74.40,213527,1.22,Apr 19 AMC,14.32%,3.05M,74.62,"Jul 20, 2001",Yes / Yes,3.22% 4.49%,"

","2,425,353",0.30%,HDB
"Home Depot, Inc",Consumer Cyclical,Home Improvement Retail,USA,NYSE,"DJIA, S&P 500",23.72,14.74,0.07%,995.00M,-3.73%,347.85B,21.44,16.31,-1.97%,994.21M,-7.27%,407.77B,4.62,4.73,72.43%,0.83%,-1.66%,14.64B,2.13,-1.63%,0.40%,2.34,-14.87%,162.95B,43.73,8.79%,16.41%,8.29M,-10.12%,7.99,254.09,5.13%,299.52%,326.31,439.37,0.03%,1.38,22.89,-1.35% 7.79%,23.23%,-20.43%,25.46%,9.16 (2.62%),16.03,1.81% 7.67%,31.41%,7.14%,44.85%,9.10 (2.60%),2.50,-1.19%,13.24%,0.86%,1.09%,216.11%,"Jun 05, 2025",0.28,7.33%,8.98%,36.18,1.78,10.89% 10.59%,1.09,-4.83%,-3.74%,1.02,425.24,60.36%,7.70,9.44%,-3.61%,2.25,347.03,470100,6.92,May 20 BMO,-9.68%,3.55M,349.62,"Sep 22, 1981",Yes / Yes,-0.99% 1.42%,"

","7,969,765",0.75%,HD
"Healthcare Services Group, Inc",Healthcare,Medical Care Facilities,USA,NASD,RUT,25.66,0.56,1.03%,72.92M,-3.10%,1.05B,15.93,0.90,-0.23%,72.17M,-2.84%,911.13M,1.02,0.20,103.91%,3.15%,36.11%,41.39M,0.60,58.59%,0.26%,3.38,16.09%,1.74B,2.04,7.22%,5.09%,2.27M,23.63%,7.05,7.28,25.16%,8.37%,9.12,15.34,38.88%,1.97,13.35,-4.46% -9.23%,7.93%,-6.40%,-9.46%,-,13.57,1.47% -1.40%,15.82%,57.37%,-41.27%,-,0.52,1.32%,3.00%,1.86%,1.27%,-55.38%,"Nov 17, 2022",2.81,3.71%,2.38%,52.85,2.20,- -,2.89,12.68%,-0.15%,0.55,15.00,0.00%,0.02,5.72%,6.59%,2.76,14.44,35300,0.02,Apr 23 BMO,22.66%,672.12K,14.36,"Nov 22, 1983",Yes / Yes,22.67% 0.84%,"

","1,856,423",-0.55%,HCSG
HUTCHMED (China) Limited ADR,Healthcare,Drug Manufacturers - Specialty & Generic,Hong Kong,NASD,-,68.67,0.22,2.30%,174.32M,-16.25%,2.59B,26.08,0.57,0.00%,170.32M,11.83%,1.85B,1.13,1.42,3.83%,0.28%,-8.00%,37.70M,4.11,921.93%,-2.73%,4.86,-0.40%,629.37M,3.40,-72.16%,2.95%,0.48M,2.98%,4.36,3.09,60.52%,5.06%,11.51,21.50,-17.00%,4.80,-,- -,4.58%,-30.98%,53.46%,-,-,20.96% 25.20%,44.63%,28.99%,-33.60%,-,2.94,-63.36%,-6.94%,2.63%,3.57%,-,-,2.70,-25.48%,5.99%,46.88,1.32,- -,2.83,-79.15%,-1.92%,0.50,25.22,0.00%,0.12,53.61%,1.86%,1.06,15.43,1811,0.08,Mar 19 AMC,-6.97%,98.37K,14.84,"Mar 17, 2016",Yes / Yes,75.00% 2.30%,"

","103,843",-3.82%,HCM
HCI Group Inc,Financial,Insurance - Property & Casualty,USA,NYSE,RUT,14.21,10.34,19.78%,10.77M,-7.47%,1.70B,9.58,15.35,0.00%,9.26M,-11.80%,-,-,4.52,85.21%,11.76%,7.24%,126.52M,2.23,75.41%,3.75%,7.37,31.24%,759.50M,3.03,0.00%,8.21%,1.09M,26.14%,48.55,-,-,28.75%,83.64,176.40,56.51%,-,5.47,246.58% 21.85%,21.89%,-16.67%,132.51%,1.60 (1.09%),-,22.79% 25.31%,-,75.73%,230.39%,1.60 (1.09%),-,3.25%,27.59%,1.36%,2.11%,238.69%,"May 16, 2025",-,20.89%,16.66%,34.82,1.33,0.00% 0.00%,2.52,40.65%,-8.61%,1.24,202.50,18.00%,0.44,4.57%,-5.35%,2.54,148.81,564,0.11,May 08 AMC,15.01%,147.82K,146.99,"Sep 15, 2008",Yes / Yes,10.33% 0.72%,"

","375,513",-1.22%,HCI
